timestamp,motor.m1,motor.m2,motor.m3,motor.m4
835135,50473.0,47704.0,51043.0,47240.0
835185,50303.0,47914.0,49781.0,46091.0
835235,49731.0,48539.0,50700.0,46299.0
835285,50273.0,47846.0,50256.0,46511.0
835335,50865.0,46973.0,49815.0,46561.0
835385,50694.0,47466.0,49914.0,45148.0
835435,50939.0,48047.0,49957.0,44762.0
835485,51491.0,48641.0,50205.0,45864.0
835535,51566.0,47970.0,50735.0,46639.0
835585,51607.0,48823.0,51178.0,46590.0
835635,52092.0,49594.0,51696.0,46980.0
835685,51743.0,47624.0,49951.0,46139.0
835735,53407.0,44543.0,52739.0,41386.0
835785,50504.0,47111.0,50030.0,44746.0
835835,52107.0,44185.0,51654.0,41528.0
835885,50882.0,45424.0,48707.0,44968.0
835935,52576.0,44235.0,52368.0,41147.0
835985,51957.0,48780.0,51023.0,45727.0
836035,52843.0,48042.0,51406.0,47475.0
836085,51405.0,50956.0,48833.0,49639.0
836135,46500.0,46954.0,54645.0,49011.0
836185,45423.0,50712.0,53220.0,45830.0
836235,42243.0,55207.0,45334.0,51878.0
836285,42755.0,56595.0,36036.0,57048.0
836335,18963.0,53586.0,53514.0,56529.0
836385,38522.0,57646.0,41193.0,57550.0
836435,0.0,62265.0,46445.0,62298.0
836485,0.0,59735.0,38179.0,60305.0
836535,872.0,60870.0,6750.0,54956.0
836585,6512.0,61026.0,370.0,58122.0
836635,25070.0,56787.0,5567.0,60147.0
836685,29842.0,55162.0,25682.0,57730.0
836735,30276.0,56489.0,42013.0,55615.0
836785,43428.0,56388.0,44616.0,56217.0
836835,51852.0,57357.0,48924.0,57338.0
836885,56355.0,57818.0,52784.0,58754.0
836935,59644.0,58094.0,53167.0,58122.0
836985,58932.0,57783.0,54807.0,55766.0
837035,57136.0,55762.0,56013.0,53731.0
837085,58845.0,52674.0,51534.0,51462.0
837135,55835.0,48461.0,51835.0,50651.0
837185,53499.0,53898.0,51054.0,39560.0
837235,40786.0,47577.0,55887.0,36379.0
837285,56160.0,49627.0,53842.0,49238.0
837335,62078.0,51553.0,50719.0,51962.0
837385,58106.0,50526.0,55048.0,50400.0
837437,53791.0,53915.0,56269.0,45202.0
837485,54411.0,50226.0,53500.0,44974.0
837537,53215.0,47425.0,53147.0,45880.0
837585,52213.0,45966.0,50903.0,43540.0
837635,50547.0,47149.0,49971.0,40266.0
837685,48926.0,44788.0,50795.0,41647.0
837735,49144.0,45432.0,48689.0,44084.0
837785,51924.0,49019.0,47484.0,39014.0
837835,51019.0,48714.0,50638.0,40760.0
837885,41703.0,45788.0,58969.0,44329.0
837935,52969.0,48354.0,52515.0,42314.0
837985,52173.0,46774.0,54744.0,43736.0
838035,53123.0,45326.0,53668.0,44741.0
838085,52880.0,46323.0,53481.0,42577.0
838136,50583.0,45091.0,54604.0,45948.0
838185,53016.0,43907.0,53245.0,45406.0
838235,53307.0,46494.0,52032.0,43516.0
838285,50933.0,45296.0,53992.0,45858.0
838336,53169.0,46095.0,52133.0,45576.0
838385,52023.0,46911.0,52765.0,44894.0
838435,52602.0,46907.0,52069.0,45214.0
838485,51715.0,45954.0,53360.0,45637.0
838536,52509.0,46269.0,52851.0,45221.0
838586,53085.0,47244.0,53015.0,44720.0
838635,53017.0,47308.0,53384.0,45928.0
838685,50979.0,46387.0,55075.0,46069.0
838736,53000.0,47191.0,52544.0,45298.0
838786,52489.0,46608.0,52472.0,44172.0
838835,52600.0,46146.0,52444.0,45423.0
838886,52770.0,46190.0,53004.0,46002.0
838935,52618.0,46745.0,53099.0,45435.0
838986,51920.0,47343.0,53749.0,43930.0
839035,53181.0,47257.0,52267.0,44492.0
839085,52945.0,46068.0,52074.0,45742.0
839135,52347.0,47159.0,52583.0,44435.0
839185,52770.0,47403.0,52063.0,43984.0
839235,52489.0,46993.0,52406.0,43968.0
839285,52578.0,45689.0,52153.0,45234.0
839335,52485.0,46832.0,51408.0,44263.0
839385,50018.0,47933.0,51170.0,45330.0
839435,51731.0,47026.0,51650.0,43676.0
839485,53372.0,42881.0,54287.0,42333.0
839535,52105.0,46405.0,52048.0,44634.0
839585,50521.0,48625.0,50371.0,46473.0
839635,52131.0,45758.0,52389.0,45520.0
839685,53598.0,45714.0,52604.0,44059.0
839735,52726.0,47277.0,52078.0,44602.0
839785,48004.0,50432.0,48449.0,50451.0
839835,52453.0,47166.0,52561.0,44170.0
839885,52899.0,46101.0,52377.0,45289.0
839935,52968.0,46311.0,52284.0,45105.0
839985,52692.0,46466.0,52696.0,45139.0
840035,51732.0,46745.0,53240.0,44261.0
840085,49030.0,50829.0,48625.0,48287.0
840135,51941.0,46377.0,52971.0,44615.0
840185,51023.0,48881.0,50763.0,45607.0
840235,52262.0,45926.0,52448.0,44664.0
840285,54906.0,43132.0,54877.0,40303.0
840335,52222.0,46930.0,52769.0,44324.0
840385,51541.0,44791.0,49435.0,42175.0
840435,51179.0,43538.0,50059.0,42756.0
840485,50083.0,44781.0,51769.0,41946.0
840535,52988.0,45063.0,50199.0,41978.0
840585,53343.0,50736.0,50491.0,48357.0
840635,56771.0,49363.0,54182.0,45889.0
840685,56844.0,49911.0,53247.0,46547.0
840735,52469.0,50255.0,56596.0,46614.0
840785,42660.0,48260.0,59830.0,49847.0
840835,20052.0,49591.0,63644.0,49591.0
840885,20086.0,45424.0,63052.0,47138.0
840935,47211.0,49581.0,56124.0,46822.0
840985,50050.0,61296.0,51410.0,57665.0
841035,55284.0,61328.0,40554.0,59930.0
841085,56640.0,60020.0,51564.0,59516.0
841135,42415.0,57688.0,61178.0,57841.0
841185,55744.0,57554.0,53196.0,53524.0
841235,52632.0,50609.0,48784.0,50759.0
841285,43377.0,44837.0,48695.0,44696.0
841335,45894.0,43615.0,44102.0,41460.0
841385,32693.0,28478.0,31279.0,25022.0
841435,27400.0,25196.0,39218.0,30084.0
841485,39389.0,31314.0,37751.0,35292.0
841535,52348.0,42048.0,32270.0,37490.0
841585,48849.0,46836.0,50693.0,46506.0
841635,56186.0,53998.0,55446.0,52938.0
841685,62997.0,57512.0,55469.0,56911.0
841735,62507.0,58777.0,58890.0,57114.0
841785,60652.0,58566.0,58953.0,54936.0
841835,59970.0,55582.0,56579.0,54252.0
841885,55546.0,52682.0,56421.0,51549.0
841935,55541.0,53745.0,52697.0,45446.0
841985,53825.0,48879.0,51744.0,44822.0
