Timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz,stateEstimateZ.qw,stateEstimateZ.qx,stateEstimateZ.qy,stateEstimateZ.qz,stateEstimateZ.rateRoll,stateEstimateZ.ratePitch,stateEstimateZ.rateYaw
1038248,761,-512,516,660,1010,-220,-0.031826724006439516,-0.04566443009619582,0.07333984227570844,0.995752522968424,1520,-913,-91
1038295,787,-462,531,562,1001,-29,-0.008302623653853786,-0.034594265224390776,0.08164246592956223,0.9960265111988672,-574,550,-86
1038346,815,-419,534,546,987,8,-0.020756559134634464,-0.05673459496800087,0.0844100071475135,0.9945980603641171,-236,1158,0
1038395,849,-368,538,513,976,33,0.0,-0.06918853044878155,0.09686394262829418,0.992889885069256,1930,-354,-11
1038448,874,-326,536,487,955,-4,0.044280659487220195,-0.047048200705171454,0.1023990250641967,0.9926430021269906,1338,-730,-198
1038495,905,-280,529,500,883,-60,0.060885906794927766,-0.03597803583336641,0.10516656628214796,0.9919367321698269,-967,871,-151
1038547,927,-245,524,488,834,-89,0.04151311826926893,-0.05950213618595213,0.1023990250641967,0.9920940461804879,-477,1072,-32
1038596,955,-199,517,429,790,-112,0.04289688887824456,-0.07887492471161096,0.10378279567317232,0.9905391130584222,1675,-660,-87
1038646,977,-161,510,378,713,-118,0.08579377775648912,-0.05119951253209835,0.10931787810907485,0.9889730224533302,952,-736,-217
1038695,996,-128,505,346,600,-112,0.08856131897444039,-0.04566443009619582,0.10516656628214796,0.9894501735519176,-1378,904,-163
1038748,1009,-106,501,307,525,-95,0.05950213618595213,-0.07195607166673282,0.09963148384624543,0.9906338309214943,-906,1008,-42
1038795,1024,-78,496,216,463,-75,0.05119951253209835,-0.08856131897444039,0.0982477132372698,0.9898903421801983,1082,-882,-80
1038846,1032,-60,493,157,408,-64,0.07195607166673282,-0.06226967740390339,0.09963148384624543,0.9904637188978207,215,-1100,-223
1038895,1049,-20,502,130,346,-36,0.03874557705131767,-0.05119951253209835,0.08856131897444039,0.9939991362958739,-3804,1533,-121
1038945,1051,-9,495,49,333,-44,-0.05535082435902524,-0.1120854193270261,0.07610738349365971,0.9892324353734112,-3772,2461,64
1038995,1047,6,487,-125,404,-66,-0.10931787810907485,-0.1605173906411732,0.06918853044878155,0.9785176115338019,555,-471,124
1039045,1035,23,477,-287,474,-107,-0.07333984227570844,-0.1259231254167824,0.05673459496800087,0.9876972308121859,1814,-2819,-118
1039098,1018,46,467,-378,517,-130,-0.05258328314107398,-0.060885906794927766,0.047048200705171454,0.9956477145548374,-1617,-869,-135
1039145,982,25,391,-466,428,-421,-0.10101525445522107,-0.07333984227570844,0.02905918278848825,0.9917523631421234,-2322,1540,48
1039195,961,45,374,-549,531,-394,-0.13007443724370932,-0.10378279567317232,0.034594265224390776,0.985450662850037,537,165,275
1039246,927,78,355,-680,678,-326,-0.10378279567317232,-0.0802586953205866,0.03874557705131767,0.9905990376568403,1387,-3003,19
1039296,887,107,359,-748,740,-137,-0.07749115410263534,0.004151311826926893,0.02629164157053699,0.9966376659696761,-99,-2605,-85
1039347,859,138,348,-706,808,-90,-0.0844100071475135,0.04151311826926893,0.02905918278848825,0.9951417866819701,-246,619,-74
1039395,823,185,344,-669,932,1,-0.08164246592956223,0.017989017916683205,0.031826724006439516,0.9959909450543973,1292,769,75
1039446,856,310,412,-347,1323,264,-0.06503721862185466,0.030442953397463883,0.01660524730770757,0.9972801274186821,1492,369,-73
1039499,841,393,430,-288,1414,343,-0.030442953397463883,0.006918853044878155,0.017989017916683205,0.9993506648296065,605,2993,31
1039545,828,472,455,-307,1438,404,-0.012453935480780678,-0.07749115410263534,0.024907870961561357,0.9966040429834931,782,3062,149
1039595,811,539,473,-413,1471,393,0.01383770608975631,-0.1259231254167824,0.037361806442342035,0.9912396177488104,2179,246,174
1039645,787,615,492,-535,1433,361,0.07195607166673282,-0.1120854193270261,0.047048200705171454,0.9899725497886205,2053,-1348,-104
1039696,755,690,510,-625,1345,290,0.10793410750009921,-0.08579377775648912,0.049815741923122714,0.9891956570836106,53,246,-111
1039745,736,730,522,-627,1165,216,0.10931787810907485,-0.09963148384624543,0.05396705375004961,0.9875275824309233,-429,1548,-39
1039795,709,798,542,-691,1098,173,0.10931787810907485,-0.13007443724370932,0.04843197131414709,0.9842685540319204,992,57,55
1039845,685,830,546,-724,933,100,0.13976083150653873,-0.1120854193270261,0.06365344801287903,0.9817596484409803,1561,-1956,-148
1039895,641,877,548,-804,766,-6,0.1646687024681001,-0.0581183655769765,0.07887492471161096,0.9814709472327089,-455,-1097,-249
1039945,604,914,550,-797,608,-79,0.13560951967961185,-0.05258328314107398,0.07472361288468407,0.9865401351104933,-1783,1053,-109
1039995,568,940,551,-845,506,-82,0.10793410750009921,-0.0802586953205866,0.06642098923083029,0.9886844908529678,227,1046,-38
1040046,522,963,546,-924,389,-125,0.1383770608975631,-0.10101525445522107,0.06642098923083029,0.9829730207764081,2139,721,-41
1040096,470,980,537,-1018,229,-189,0.17989017916683203,-0.116236731153953,0.06642098923083029,0.9745341440706768,-367,547,-35
1040146,414,987,526,-1130,51,-236,0.13976083150653873,-0.12730689602575807,0.05950213618595213,0.9801629252273298,-2798,-154,25
1040196,364,987,516,-1232,-55,-238,0.08856131897444039,-0.11900427237190427,0.05535082435902524,0.9873860249069345,-716,-1190,1
1040247,310,995,529,-1291,-101,-128,0.08856131897444039,-0.08164246592956223,0.04843197131414709,0.9915370616840671,1384,-1105,-88
1040295,249,990,493,-1318,-205,-220,0.11346918993600175,-0.05950213618595213,0.05258328314107398,0.9903631844220996,-485,-95,1
1040349,194,980,484,-1363,-298,-205,0.0844100071475135,-0.060885906794927766,0.05119951253209835,0.9932504553050009,-2585,-465,91
1040395,114,968,463,-1421,-335,-198,0.017989017916683205,-0.0401293476602933,0.05258328314107398,0.9976477479676171,-939,-1753,29
1040446,59,958,457,-1455,-327,-144,0.011070164871805049,-0.004151311826926893,0.05258328314107398,0.9985465519413366,1084,-1836,-80
1040496,-13,947,457,-1408,-311,-45,0.031826724006439516,0.04151311826926893,0.04566443009619582,0.9975863273294042,-348,-409,-4
1040546,-86,932,456,-1363,-321,11,0.005535082435902524,0.044280659487220195,0.047048200705171454,0.9978953115774273,-1281,255,77
1040595,-141,926,469,-1240,-266,90,-0.0,0.0401293476602933,0.047048200705171454,0.9980862198561632,2290,207,38
1040646,-189,921,483,-1183,-249,165,0.07057230105775718,0.04151311826926893,0.04289688887824456,0.9957188700931315,3608,239,5
1040696,-215,927,535,-985,-266,354,0.13284197846166057,0.044280659487220195,0.0401293476602933,0.9893340524868877,-220,714,75
1040749,-255,914,540,-936,-361,257,0.10655033689112359,0.02767541217951262,0.04151311826926893,0.9930547609677142,-2527,793,169
1040796,-306,892,550,-914,-434,208,0.05258328314107398,0.008302623653853786,0.047048200705171454,0.9974730731127402,187,-54,152
1040845,-353,870,557,-902,-478,149,0.08579377775648912,0.017989017916683205,0.049815741923122714,0.9949041234155742,2819,-608,-25
1040896,-398,844,580,-867,-575,180,0.14529591394244126,0.02767541217951262,0.04843197131414709,0.987814513513013,676,499,20
1040945,-436,815,597,-846,-683,159,0.12315558419883116,0.004151311826926893,0.047048200705171454,0.9912627984047249,-3032,1411,137
1040996,-481,777,603,-850,-765,68,0.04289688887824456,-0.024907870961561357,0.047048200705171454,0.997660223572703,-2190,-190,149
1041045,-518,743,605,-866,-789,20,0.022140329743610097,-0.004151311826926893,0.049815741923122714,0.9985043636687867,1257,-2259,-17
1041095,-565,700,604,-848,-819,-48,0.060885906794927766,0.05396705375004961,0.04843197131414709,0.9955073116848134,1201,-1063,-137
